path,width,height,format
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_red-burst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56barlfty-blk_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bass-blk_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56u2-blk_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_metallic-red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_vintage-white.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d57_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_jade.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_moonlight-delight.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_white.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhblft_copperburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59dcbass_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59dcbass_copperburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59divine_dark-walnut.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59divine_flame-maple.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59divine_fresh-cream.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-lft_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-lft_seafoam-green.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-blue-metalflake.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-orange-metalflake.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-red-metalflake.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_59m-nos-silver-metalflake.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_baby-blue.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_copper.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_go-go-blue.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_ice-grey.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_keen-green.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_gold.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_jade.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59rbar_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59rbar_jade.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_tobacco-sunburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_vintage-white.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_blood-red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_ice-grey.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_red-burst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_vintage-cream.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_yellow.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbn612_red-crackle.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbn612_white.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbsitar_aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbsitar_red-crackle.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbsitar_sunburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhbass_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhbass_copperburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhguitar-cpr_copperburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpbs_black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpbs_white.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpro_silver-glitter.png,4016,6016,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_lhbari_blackburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_lhbari_copperburst.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-black.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-cream.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_59-vintage-aqua.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_triple-divine_burgundy.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_triple-divine_red.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/don-jose_dj-c700-nt_default.png,336,1000,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/don-jose_dj-c700eq-nt_default.png,336,1000,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/flinthill_fhb-55_default.png,800,1200,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgb-200_brown-sunburst.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_black.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_brown-sunburst.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_candy-apple-red.png,279,485,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_metallic-blue.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200pl_black-paisley.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200pl_blue-paisley.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200pl_pink-paisley.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200v_brown-sunburst.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-259_black.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-259_white.png,1600,1600,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_ar-800c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_ar-800s_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_ar-800t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_bl-150c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_bl-150s_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_bl-150t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_em-0600c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_em-0600t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_ko-1000c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_ko-1000t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_pi-100c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_pi-100s_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_pi-100t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rf-130c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rf-130s_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rf-130t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rr-200c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rr-200t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_se-900c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_se-900t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_sw-700c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_sw-700t_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_to-100c_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_to-100s_default.png,2048,2048,PNG
/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_to-100t_default.png,2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpall-bg_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpgeo-cm_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpnot-cp_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/feadog_fw02_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/feadog_iw10_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_9124783000_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_990701001_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_990701002_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_990701049_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_fnbtr1_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_fnco4_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_fnhg4_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_fnrk4_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_8020_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_fn600_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_minharp_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_420172_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_420174_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_695069_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_697283_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_697313_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_697316_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_699500_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_862594_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_862599_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hohner_hpn5_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_1910_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_1910h_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_1910n_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_lo10hh_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_lohp_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_rpm_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/little-legends_llbgd303p_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/little-legends_llbgd304b_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/little-legends_llbgd304w_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_30000_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93195m_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93197m_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93202m_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93207m_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93258_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93268m_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93270m_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93275_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/onstage_osihh1020_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/snoopys-harp_3490_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_12050_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_3470_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_3485_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_4218_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_701b_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_8037_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_fn120_default.png",2048,2048,PNG
"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_slide_default.png",2048,2048,PNG
