sort_order,page,story_id,story_record,brand,top_category,subcategory,sku,product_name,description,notes,color,list_price,map_price,net_price,net_price_if_buy_6_or_more,net_price_if_buy_12_or_more,source_image_name,normalized_image_path
,224,u1271,1,Lee Oskar,"Harmonicas, Books & Novelties",Harmonicas & Accessories,1910N,Natural Minor,"Provides a complete minor scale in cross harp Keys: A & D (C, G, Eb, F, F#, B *Special Order)",,,$74.99,,$39.99,,,lee-oskar_1910n_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_1910n_default.png"
,224,u124d,1,Lee Oskar,"Harmonicas, Books & Novelties",Harmonicas & Accessories,1910,Major Diatonic,"Blues, Rock, Country, Folk. Keys: A, Ab, B, Bb, C, D, Db, E, Eb, F, F#, G, Hi G, & Lo F",,,$74.99,,$39.99,,,lee-oskar_1910_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_1910_default.png"
,224,u1288,1,Lee Oskar,"Harmonicas, Books & Novelties",Harmonicas & Accessories,1910H,Harmonic Minor,"Harps in this tuning are All Special Order Keys: A, Bb, C, D, F#",,,$74.99,,$39.99,,,lee-oskar_1910h_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_1910h_default.png"
,225,u309,1,Lee Oskar,"Harmonicas, Books & Novelties",Harmonicas & Accessories,LOHP,Harmonica Case,Padded harmonica pouch (holds 7 harps- not included),,,$29.99,,$14.29,,,lee-oskar_rpm_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_rpm_default.png"
,225,u357,1,Lee Oskar,"Harmonicas, Books & Novelties",Harmonicas & Accessories,LO10HH,Harmonica Holder,,,,,$41.99,$23.27,,,lee-oskar_lo10hh_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_lo10hh_default.png"
,225,u2f2,1,Lee Oskar,"Harmonicas, Books & Novelties",Harmonicas & Accessories,RPM,Reed Plates,"Please Specify: A, B, Bb, C, D, E, F, G, Lo F",,,,$32.99,$22.27,,,lee-oskar_rpm_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/lee-oskar_rpm_default.png"
,224,u12c5,1,Fender,"Harmonicas, Books & Novelties",Harmonicas & Accessories,990701001,Blues Deluxe Harmonica,Keys: C,,,$13.49,,$6.75,,,fender_990701002_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_990701002_default.png"
,224,u12c5,2,Fender,"Harmonicas, Books & Novelties",Harmonicas & Accessories,990701002,Blues Deluxe Harmonica,Keys: G,,,$13.49,,$6.08,,,fender_990701002_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_990701002_default.png"
,224,u3c3,1,Fender,"Harmonicas, Books & Novelties",Harmonicas & Accessories,990701049,7-Pack BD Harmonicas,"Keys: C, G, A, D, F, E, & Bb",,,$69.99,,$33.33,,,fender_990701049_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_990701049_default.png"
,225,u3e3,1,Hohner,"Harmonicas, Books & Novelties",Harmonicas & Accessories,HPN5,Harp Case,The Hohner HPN5 Harmonica Pouch 5-Pack protects 5 of your harps from scratches and dirt.,,,$17.99,,$8.10,,,onstage_osihh1020_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/onstage_osihh1020_default.png"
,225,u340,1,OnStage,"Harmonicas, Books & Novelties",Harmonicas & Accessories,OSIHH1020,Harmonica Holder,,,,,$14.95,$8.29,,,onstage_osihh1020_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/onstage_osihh1020_default.png"
,226,u41d,2,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,697313,Guitar Method Book 2,"Book 2 - With lessons and songs in the keys of C, G, D, Em, & F, syncopations and dotted rhythms, more advanced strums, solos, styles from bluegrass to blues-rock & more traditional songs.",,,$12.99,,$7.80,,,hal-leonard_697316_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_697316_default.png"
,226,u41d,3,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,697316,Guitar Method Book 3,"Book 3 - Book/CD Pack BOOK 3 –Covers the major, minor, pentatonic & chromatic scales, sixteenth notes; barre chords.",,,$14.99,,$8.99,,,hal-leonard_697316_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_697316_default.png"
,226,u526,1,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,699500,Banjo Method,"Covers easy chord strums for the beginner; learning tablature; right-hand rolls characteristic of bluegrass; techniques such as hammer-on, slide & pull-off. Book",,,$9.99,,$5.99,,,hal-leonard_699500_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_699500_default.png"
,226,u4c1,1,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,695069,Electric Bass Method,More dynamic concepts. Book,,,$9.99,,$5.99,,,hal-leonard_695069_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_695069_default.png"
,227,u579,1,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,697283,Fast Track Keyboard,"Learn how to play piano today. With this book you’ll learn music notation, chords, riffs, licks and scales, syncopation, rock & blues styles. Method Book 1 includes over 87 songs & examples. Book 1",,,$7.99,,$4.79,,,hal-leonard_697283_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_697283_default.png"
,227,u5d8,1,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,420172,Piano Adventures - Level 1,Level 1 - Theory Book,,,$8.99,,$5.39,,,hal-leonard_420174_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_420174_default.png"
,227,u5d8,2,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,420174,Piano Adventures - Level 2,Level 2a - Lesson Book,,,$8.99,,$5.39,,,hal-leonard_420174_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_420174_default.png"
,227,u5c1,1,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,862594,Essential Elements Book 1,"Book 1 – Book, CD voucher, & online video. Features SmartMusic Software, (practice, record, & e-mail). BOOK 2 – Book 1 review, Rhythm Raps, Daily Warm-ups, Theory, History, Multicultural Music, Sight-reading & Improv Alto Sax– Book 2",,,$12.99,,$7.79,,,hal-leonard_862599_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_862599_default.png"
,227,u5c1,2,Hal Leonard,"Harmonicas, Books & Novelties",Method Books,862599,Essential Elements Book 2,"Book 1 review, Rhythm Raps, Daily Warm-ups, Theory, History, Multicultural Music, Sight-reading & Improv",,,$12.99,,$7.79,,,hal-leonard_862599_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/hal-leonard_862599_default.png"
,227,u607,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,93202M,Modern Guitar Method,"The world’s premier method for learning modern guitar, proven successful in building the theoretic and technical foundation needed to play in any style. Book 3/Online Audio",,,$14.99,,$8.09,,,mel-bay_93202m_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93202m_default.png"
,227,u61e,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,93207M,Classic Guitar Method,The student is thoroughly grounded in left and right hand technical studies and is acquainted with the works of the masters. Includes access to online audio. Book 1/Online Audio,,,$14.99,,$8.09,,,mel-bay_93207m_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93207m_default.png"
,227,u64c,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,93195M,Easy Way to Guitar B,"Easy Way to Guitar is a popular, easy to understand children's course designed to give the student a thorough grounding in note reading and solo performance. Chord playing is introduced gradually, utilizing simplified chords. Book/Online Audio",,,$14.99,,$8.09,,,mel-bay_93195m_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93195m_default.png"
,227,u663,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,93197M,Guitar Primer,"An easy, carefully graduated note-reading method which provides an introduction to the rudiments of music through enjoyable single-note exercises and solos. This book includes diagrams and photos of the location of the notes in first position. Book/Online Audio",,,$9.99,,$5.39,,,mel-bay_93197m_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93197m_default.png"
,227,u6cd,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,30000,3000 Manuscript Book,Mel Bay's top offering for manuscript with tear out pages.,,,$9.99,,$5.39,,,mel-bay_30000_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_30000_default.png"
,228,u703,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,93258,Fun with the Mandolin,"This book presents melodies, lyrics and chord symbols for 22 songs to be enjoyed on the mandolin. Tuning and hand positions are briefly discussed. Book/Online Audio",,,$9.99,,$5.39,,,mel-bay_93258_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93258_default.png"
,228,u731,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,93270M,Fun with the Ukulele,"This book presents tuning, proper positioning, basic chords (C tuning) and folk songs for strumming and singing. Book/Online Video",,,$14.99,,$8.09,,,mel-bay_93270m_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93270m_default.png"
,228,u71a,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,93268M,Fun with the Banjo,"Written in C tuning, it shows basic chords, includes instructions for tuning and positioning, and contains many fun songs with lyrics. Book/Online Video",,,$14.99,,$8.09,,,mel-bay_93268m_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93268m_default.png"
,228,u77d,1,Mel Bay,"Harmonicas, Books & Novelties",Method Books,93275,Fun with Trombone,"Contains 42 songs, all easy and fun to play. Diatonic, Blues, and Chromatic harmonica stylings are all contained in this book. Book/Online Video",,,$9.99,,$5.39,,,mel-bay_93275_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/mel-bay_93275_default.png"
,229,u173b,1,Fender,"Harmonicas, Books & Novelties",Novelties,9124783000,Strat Bookends,,,,$69.99,,$45.48,,,fender_9124783000_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_9124783000_default.png"
,229,u90e,1,Fender,"Harmonicas, Books & Novelties",Novelties,FNBTR1,Bar Tray Custom Shop,,,,$9.95,,$5.97,,,fender_fnbtr1_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_fnbtr1_default.png"
,229,u90e,2,Fender,"Harmonicas, Books & Novelties",Novelties,FNCO4,Coasters Set/4,,,,$9.95,,$5.97,,,fender_fnco4_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_fnco4_default.png"
,229,u90e,3,Fender,"Harmonicas, Books & Novelties",Novelties,FNHG4,Hiball Glass Set/4,,,,$19.95,,$11.97,,,fender_fnhg4_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_fnhg4_default.png"
,229,u90e,4,Fender,"Harmonicas, Books & Novelties",Novelties,FNRK4,Rock Glass Set/4,,,,$14.95,,$8.97,,,fender_fnrk4_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/fender_fnrk4_default.png"
,229,u892,1,Little Legends,"Harmonicas, Books & Novelties",Novelties,LLBGD304W,Toy Piano,"Black, For Ages 3+, 4 legs, 30 keys",,Black,$169.95,,$84.95,,,little-legends_llbgd304w_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/little-legends_llbgd304w_default.png"
,229,u171a,1,Little Legends,"Harmonicas, Books & Novelties",Novelties,LLBGD304B,Toy Piano,"White, For Ages 3+, 4 legs, 30 keys",,White,$169.95,,$84.95,,,little-legends_llbgd304b_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/little-legends_llbgd304b_default.png"
,229,u8a9,1,Little Legends,"Harmonicas, Books & Novelties",Novelties,LLBGD303P,Toy Piano,"Pink, For Ages 3+, 3 legs, 30 keys",,Pink,$139.95,,$69.95,,,little-legends_llbgd303p_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/little-legends_llbgd303p_default.png"
,230,u9ba,1,Trophy,"Harmonicas, Books & Novelties",Novelties,slide,Slide Whistles,,,,$64.50,,$29.03,,,trophy_slide_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_slide_default.png"
,230,ua73,1,Trophy,"Harmonicas, Books & Novelties",Novelties,4218,Train Whistle,,,,$9.95,,$4.48,,,trophy_4218_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_4218_default.png"
,231,uc0a,1,Feadóg,"Harmonicas, Books & Novelties",Novelties,IW10,Original Irish Whistle,,,,$18.95,,$9.48,,,feadog_iw10_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/feadog_iw10_default.png"
,230,ua5c,1,Feadóg,"Harmonicas, Books & Novelties",Novelties,FW02,Brass Whistle with Book,,,,$39.50,,$17.78,,,feadog_fw02_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/feadog_fw02_default.png"
,231,u1976,1,Trophy,"Harmonicas, Books & Novelties",Novelties,FN120,Plastic Kazoo,,,,$3.95,,$1.88,,,trophy_fn120_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_fn120_default.png"
,231,u1926,1,Trophy,"Harmonicas, Books & Novelties",Novelties,701B,Metal Kazoo,,,,$5.50,,$2.48,,,trophy_701b_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_701b_default.png"
,230,ua17,1,Trophy,"Harmonicas, Books & Novelties",Novelties,12050,Plastic Kazoo Display,,,,$64.50,,$29.03,,,trophy_12050_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_12050_default.png"
,231,u1992,1,Trophy,"Harmonicas, Books & Novelties",Novelties,3470,Musical Spoons,,,,$13.95,,$6.28,,,trophy_3470_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_3470_default.png"
,231,u1a60,1,Grover,"Harmonicas, Books & Novelties",Novelties,8020,Tuning Hammer,,,,$8.95,,$4.03,,,grover_8020_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_8020_default.png"
,230,u1a2e,1,Economy,"Harmonicas, Books & Novelties",Novelties,GPGEO-CM,Guitar Purse,,,,$29.95,,$15.95,$14.95,,economy_gpgeo-cm_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpgeo-cm_default.png"
,230,u1a46,1,Economy,"Harmonicas, Books & Novelties",Novelties,GPNOT-CP,Guitar Purse,,,,$29.95,,$15.95,$14.95,,economy_gpnot-cp_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpnot-cp_default.png"
,230,ub93,1,Economy,"Harmonicas, Books & Novelties",Novelties,GPALL-BG,Guitar Purse,,,,$29.95,,$15.95,$14.95,,economy_gpall-bg_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/economy_gpall-bg_default.png"
,231,uc52,1,Grover,"Harmonicas, Books & Novelties",Novelties,FN600,Melody Harp,,,,$76.50,,$36.15,,,grover_fn600_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_fn600_default.png"
,231,ub65,1,Grover,"Harmonicas, Books & Novelties",Novelties,MINHARP,Mini Harp,,,,$24.95,,$12.95,,,grover_minharp_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/grover_minharp_default.png"
,229,ua8a,1,Snoopys Harp,"Harmonicas, Books & Novelties",Novelties,3490,Jaw Harp,,,,$8.95,,$4.25,,$4.03,snoopys-harp_3490_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/snoopys-harp_3490_default.png"
,229,uafc,1,Trophy,"Harmonicas, Books & Novelties",Novelties,8037,Bluegrass Jaw Harp,,,,$7.50,,$3.75,,$3.56,trophy_8037_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_8037_default.png"
,230,ua45,1,Trophy,"Harmonicas, Books & Novelties",Novelties,3485,Jaw Harps,,,,$115.95,,$52.18,,,trophy_3485_default.png,"/Users/lpdmusic/Documents/New project/Photos/Harmonicas, Books & Novelties/trophy_3485_default.png"