sort_order,page,story_id,brand,top_category,subcategory,sku,product_name,description,colors,map_price,net_price,net_price_if_buy_6_or_more,net_price_if_buy_12_or_more,source_image_name,source_image_path
,2,u13b12,Danelectro,Fretted Instruments,Electric Guitars,D56U2-BLK,‘56 U2,• Single Cutaway Body Design • Rosewood Fretboard • ‘56 Lipstick Single Coil Pickups • 3-Way Pickup Switch • Adjustable Saddle Bridge • Volume and Tone Control,Black,$569.00,$398.30,,,danelectro_d56u2-blk_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56u2-blk_black.png
,2,u13b34,Danelectro,Fretted Instruments,Electric Guitars,D57,‘57,• Single Cutaway Body Design • Rosewood Fretboard • ‘56 Lipstick Single Coil Pickups • 3-Way Pickup Switch • Adjustable Saddle Bridge • Volume and Tone Controls,"Limo Black, Jade",$599.00,$419.30,,,danelectro_d57_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d57_black.png
,2,u13bc0,Danelectro,Fretted Instruments,Electric Guitars,STOCK 59,Stock ‘59,• Double cutaway • 2 Lipstick Pickups • Master Volume & Tone Controls • Original swivel bridge • Natural maple neck with lacquer finish,"Black, Cream, Red, Aqua, Vintage Aqua",$459.00,$344.25,,,danelectro_stock-59_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_stock-59_black.png
,2,u16d0d,Danelectro,Fretted Instruments,Electric Guitars,D59m-plus,‘59M NOS+,• Shorthorn shape • Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick® pickups • 2 stacked tone & volume controls • 3 way pickup selector,"Keen Green, Ice Grey, Red, Seafoam, Copper, Go Go Blue, Orange, Baby Blue, White, Black",$529.00,$370.30,,,danelectro_d59m-plus_keen-green.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus_keen-green.png
,3,u16dd3,Danelectro,Fretted Instruments,Electric Guitars,D59M-PLUS-MF,59M NOS+ Metalflake,• Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector,"Blue Metalflake, Silver Metalflake, Orange Metalflake, Black Metalflake, and Red Metalflake",$569.00,$398.30,,,danelectro_d59m-plus-mf_blue-metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-mf_blue-metalflake.png
,3,u16dea,Danelectro,Fretted Instruments,Electric Guitars,D59M-PLUS-LFT,‘59M NOS+ Lefty,• Scale length: 25” • Number of frets: 21 • Coke bottle headstock • Rosewood saddle bridge • 2 NOS+ Lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector,"Black, Seafoam Green",$569.00,$398.30,,,danelectro_d59m-plus-lft_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59m-plus-lft_black.png
,3,u16e18,Danelectro,Fretted Instruments,Electric Guitars,Triple DIVINE,Triple Divine,• Scale length: 25” • Number of frets: 21 • U3 intonatable saddled bridge • 2 stacked Volume and Tone pots • CRL ® 5-way pickup switch,Red & Burgundy,$799.00,$559.00,,,danelectro_triple-divine_red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_triple-divine_red.png
,3,u16f7c,Danelectro,Fretted Instruments,Electric Guitars,D59DIVINE,59 Divine,• Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector,"Dark Walnut, Flame Maple, Fresh Cream",$699.00,$489.30,,,danelectro_d59divine_dark-walnut.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59divine_dark-walnut.png
,4,u16fa4,Danelectro,Fretted Instruments,Electric Guitars,BO59-MF,Blackout ‘59,• Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector • Black pick guards and black side tape,"Purple Metalflake, Black Metalflake",$569.00,$398.30,,,danelectro_bo59-mf_purple-metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-mf_purple-metalflake.png
,4,u16fbb,Danelectro,Fretted Instruments,Electric Guitars,59XT,‘59XT,• Number of frets: 21 • High output single coil in neck • Lipstick ® Humbucker pair in bridge • 2 stacked tone & volume controls • 3-way pickup selector • Wilkinson tremolo,"Dark Aqua, Black, Silver, Dark Burgundy & Vintage Cream",$599.00,$449.25,,,danelectro_59xt_aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59xt_aqua.png
,4,u16fd3,Danelectro,Fretted Instruments,Electric Guitars,D59R,Fifty Niner,• Scale length: 25” • Number of frets: 21 • Neck finish: clear satin • ’ 56 Lipstick ® neck pickup • Piezo pickup mounted in cone • 1 master volume • 1 master tone • 1 blend pot,"Gold, Jade, & Red",$569.00,$398.30,,,danelectro_d59r_gold.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59r_gold.png
,4,u17114,Danelectro,Fretted Instruments,Electric Guitars,BO59-GRN,Blackout ‘59,• Scale length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 NOS+ lipstick ® pickups • 2 stacked tone & volume controls • 3 way pickup selector • Black pick guards and black side tape,Green Metalflake,$529.00,$370.30,,,danelectro_bo59-grn_green-metalflake.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_bo59-grn_green-metalflake.png
,5,u17197,Danelectro,Fretted Instruments,Electric Guitars,DPBS,PB Special,• Body Shape: Danelectro Doublecut • Scale Length: 25” • Number of frets: 21 • 3-way toggle pickup switch,"Black, White & Copper",$529.00,$370.30,,,danelectro_dpbs_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpbs_black.png
,5,u171ae,Danelectro,Fretted Instruments,Electric Guitars,64XT,64XT,• Scale Length: 25” • Number of frets: 21 • Wilkinson vibrato bridge • 3-way toggle pickup switch,Aqua,$599.00,$449.25,,,danelectro_64xt_aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_64xt_aqua.png
,5,u171c6,Danelectro,Fretted Instruments,Electric Guitars,D67,67 Dano,• Scale length: 25” • Number of frets: 21 • Fully adjustable bridge • 2 lipstick ® pickups,"Aqua, Red, Black, Yellow",$599.00,$419.30,,,danelectro_d67_aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d67_aqua.png
,5,u171dd,Danelectro,Fretted Instruments,Electric Guitars,DLHGUITAR-CPR,Longhorn Guitar,• Scale length: 25” • Number of frets: 21 • 6 saddle fully adjustable bridge • 2 lipstick ® pickups • 1 master volume and 1 master tone,Copperburst,$569.00,$398.30,,,danelectro_dlhguitar-cpr_copperburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhguitar-cpr_copperburst.png
,5,u17361,Danelectro,Fretted Instruments,Electric Guitars,DPRO,Pro Semi-Hollow Electric Guitar,"• Scale Length: 21” • Number of frets: 21 • Danelectro 50’s Single-coil • Controls: 1 X volume, 1 x tone Maroon with",Silver Glitter,$529.00,$370.30,,,danelectro_dpro_silver-glitter.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dpro_silver-glitter.png
,5,u17378,Danelectro,Fretted Instruments,Electric Guitars,CONV,Convertible,• Scale length: 25” • Number of frets: 21 • ’56 Lipstick® pickup mounted in sound hole • Piezo pickup mounted inside under bridge,"Tobacco Sunburst, Black & Cream",$599.00,$419.30,,,danelectro_conv_tobacco-sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_conv_tobacco-sunburst.png
,6,u1892e,Danelectro,Fretted Instruments,Specialty Guitars,12SDC,12SDC 12 String,• Joint: Bolt-on • Scale length: 25” • Radius: 7.25” • Number of frets: 21 • Neck pickup: Lipstick • Bridge pickup: Lipstick • Bridge: Fully adjustable fixed bridge • Master Volume/Tone Controls,"Gloss Black, Vintage White & Aqua",$549.00,$384.30,,,danelectro_12sdc_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_12sdc_black.png
,6,u18946,Danelectro,Fretted Instruments,Specialty Guitars,59R12ST,Fifty Niner 12 string,"• Semi-hollowbody • Fifty Niner 12-string Doublecut • Scale length: 25” • Number of frets: 21 • Neck Pickup: Angled Single-coil • Bridge Pickup: Dual Lipstick Humbucker • Controls: 1 x volume, 1 x tone (push/pull) • Switching: 3-way blade pickup switch",Black & Gold,$629.00,$424.00,,,danelectro_59r12st_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59r12st_black.png
,6,u1895d,Danelectro,Fretted Instruments,Specialty Guitars,D59X12,59x 12 String,• Double cutaway shorthorn shape • Scale length: 25” • Number of frets: 21 • Semi-hollow body with center block • 1 Dual Lipstick Humbucker • 1 master volume • 1 master tone,"Black, Blood Red, Vintage Cream, Ice Grey, Red Burst & Black Metal Flake",$599.00,$449.25,,,danelectro_d59x12_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59x12_black.png
,6,u18974,Danelectro,Fretted Instruments,Specialty Guitars,D59RESO,‘59 Resonator,• Scale length: 25” • Number of frets: 21 • ’ 56 Lipstick ® neck pickup • Piezo pickup mounted in cone,"Black, Tobacco Sunburst",$699.00,$524.25,,,danelectro_d59reso_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59reso_black.png
,7,u175fa,Danelectro,Fretted Instruments,Specialty Guitars,D59V12,Vintage 12 String,• Scale length: 25” • Number of frets: 21 • Fully adjustable 12 string bridge • 2 lipstick® pickups,"Aqua, Red, Vintage White, Black",$599.00,$419.30,,,danelectro_d59v12_aqua.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59v12_aqua.png
,7,u17611,Danelectro,Fretted Instruments,Specialty Guitars,DBN612,Doubleneck 6/12,• Scale Length: 25” • Number of frets: 21 • Fully adjustable 6 & 12 string bridge • Lipstick Single-coil,Red Crackle & White,$899.00,$674.25,,,danelectro_dbn612_red-crackle.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbn612_red-crackle.png
,7,u17656,Danelectro,Fretted Instruments,Specialty Guitars,D56VBAR,‘56 Vintage Baritone,• 29.75” scale neck • Number of frets: 24 • Fully adjustable bridge • 2 high output Lipstick ® pickups • 3 way pickup selector • “S” sound hole,"Black, Vintage White, Red, Aqua",$599.00,$419.30,,,danelectro_d56vbar_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56vbar_black.png
,7,u1766d,Danelectro,Fretted Instruments,Specialty Guitars,D56BAR,56 Baritone,• “Dolphin” headstock • 29.75” short-scale neck • Number of frets: 24 • Fully adjustable bridge,"Black, Red",$549.00,$384.30,,,danelectro_d56bar_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_black.png
,7,u177fd,Danelectro,Fretted Instruments,Specialty Guitars,D56BAR,56 Baritone,• “Dolphin” headstock • 29.75” short-scale neck • Number of frets: 24 • Fully adjustable bridge • 1 master volume • 1 master tone • 3 way pickup selector,"Red Burst, Black Metal Flake, Silver Metal Flake",$569.00,$398.30,,,danelectro_d56bar_red-burst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bar_red-burst.png
,7,u17850,Danelectro,Fretted Instruments,Specialty Guitars,D56BARLFTY-BLK,56 Baritone Lefty,• “Dolphin” headstock • 29.75” short-scale neck • Number of frets: 24 • Fully adjustable bridge • 3 way pickup selector,Black,$599.00,$419.30,,,danelectro_d56barlfty-blk_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56barlfty-blk_black.png
,8,u178c5,Danelectro,Fretted Instruments,Specialty Guitars,LHBARI,Longhorn Baritone,• 29.72” scale length • Number of frets: 24 • 6-saddle adjustable bridge • 2 high output lipstick ® pickups,"Copperburst, Blackburst",$569.00,$398.30,,,danelectro_lhbari_copperburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_lhbari_copperburst.png
,8,u178dc,Danelectro,Fretted Instruments,Electric Guitars,66BT,‘66 Baritone,• Reverse double cutaway offset horn shape • Semi-hollow body with center block • Number of frets: 22 • Fully adjustable wraparound bridge,Transparent Blue,$899.00,$674.25,,,danelectro_66bt_transparent-blue.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_66bt_transparent-blue.png
,8,u1790a,Danelectro,Fretted Instruments,Specialty Guitars,D59RBAR,Fifty Niner Baritone,• Scale Length: 25” • Number of frets: 21 • Fully adjustable wraparound bridge • 2 high output lipstick ® pickups,Black & Jade,$629.00,$440.30,,,danelectro_d59rbar_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59rbar_black.png
,8,u17921,Danelectro,Fretted Instruments,Specialty Guitars,DBSITAR,Baby Sitar,• Round body shape • “Thermometer” headstock shape • 6 strings tuned like standard guitar • Scale length: 24.75”,"Sunburst, Red Crackle, Aqua",$599.00,$449.25,,,danelectro_dbsitar_sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dbsitar_sunburst.png
,8,u17ac9,Danelectro,Fretted Instruments,Specialty Guitars,COSITAR,Coral Sitar,• Bolt-on neck: Maple • Pau Ferro fretboard • Number of frets: 21 • Scale: 25.5”,"Red Crackle, Black Crackle, White Crackle",$799.00,$559.30,,,danelectro_cositar_red-crackle.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_cositar_red-crackle.png
,9,u16bd6,Danelectro,Fretted Instruments,Bass Guitars,DLHBASS,Longhorn Bass,• 1958 longhorn bass body shape • 29.75” short-scale neck • Number of frets: 24 • Traditional bridge with rosewood saddle • 2 stacked volume/tone control sets,"Copperburst, Black",$569.00,$398.30,,,danelectro_dlhbass_copperburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_dlhbass_copperburst.png
,9,u17ae0,Danelectro,Fretted Instruments,Bass Guitars,D56BASS-BLK,56 Single Cut Bass,• Short scale length: 29.75” • Number of frets: 24 • Fully adjustable bridge • 2 lipstick ® pickups • 2 master volume • 1 master tone,Black,$569.00,$398.30,,,danelectro_d56bass-blk_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d56bass-blk_black.png
,9,u17af7,Danelectro,Fretted Instruments,Bass Guitars,59SSB,59 DC Short Scale Bass,• Scale length: 29.75” • Number of frets: 24 • Fully adjustable bridge • 2 High Output Lipstick ® pickups,"Copper, Cream, Black Metalflake",$579.00,$405.30,,,danelectro_59ssb_copper.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59ssb_copper.png
,9,u17bd6,Danelectro,Fretted Instruments,Bass Guitars,D59DCBASS,59 DC Long Scale Bass,• ’59 DC Shorthorn shape • Scale length: 34” • Frets: 20 • 2 stacked volume/tone controls • 3 way pickup switch,"Black, Copperburst",$599.00,$419.30,,,danelectro_d59dcbass_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d59dcbass_black.png
,9,u17bf6,Danelectro,Fretted Instruments,Bass Guitars,59RSSB-JADE,Fifty Niner Bass,• Number of frets: 24 • Fully adjustable bridge • Pickups: 2 x Dano 50’s • Lipstick Single Coils,Jade,$599.00,$420.00,,,danelectro_59rssb-jade_jade.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59rssb-jade_jade.png
,9,u17c0d,Danelectro,Fretted Instruments,Bass Guitars,59RLSB-JADE,Fifty Niner Bass Lefty,• Number of frets: 24 • Fully adjustable bridge • Pickups: 2 x Dano 50's • Lipstick Single Coils,Jade,$599.00,$420.00,,,danelectro_59rlsb-jade_jade.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_59rlsb-jade_jade.png
,10,u16bf8,Danelectro,Fretted Instruments,Bass Guitars,D58LHBLFT,Longhorn Bass Lefty,• 1958 longhorn bass body shape • 29.75” short-scale neck • Number of frets: 24 • Traditional bridge with rosewood saddle • 2 stacked volume/tone control sets,Copperburst,$629.00,$440.30,,,danelectro_d58lhblft_copperburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhblft_copperburst.png
,10,u17c63,Danelectro,Fretted Instruments,Bass Guitars,D58LHB,Longhorn Semi-Hollow Bass,• 1958 longhorn bass body shape • 29.75 short-scale neck • Number of frets: 24 • Traditional bridge with Pau Ferro saddle • 2 stacked volume/tone control sets,"Red, Jade, Moonlight Delight & White",$599.00,$418.75,,,danelectro_d58lhb_red.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/danelectro_d58lhb_red.png
,11,u17cfc,Aria,Fretted Instruments,Acoustic Guitars,ARIA-151LIL,Lil’ Aria,• Top: Spruce • Back & Side: Sapele • Neck: Mahogany,"Orange Sunburst, Tobacco Sunburst, Natural, & Black",249.00,149.00,,,aria_aria-151lil_orange-sunburst.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-151lil_orange-sunburst.jpg
,11,u17d53,Aria,Fretted Instruments,Acoustic Guitars,ARIA-131UP,Urban Player Series,• Top: Spruce • Back & Side: Sapele • Neck: Mahogany • Frets: 20,"Red, Blue, Green, & Black",299.00,189.00,,,aria_aria-131up_red.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-131up_red.jpg
,11,u17e3f,Aria,Fretted Instruments,Acoustic Guitars,ARIA-101UP,Urban Player Series,• Top: Spruce • Back & Side: Sapele • Neck: Mahogany • Frets: 20,"Red, Blue, & Green",299.00,189.00,,,aria_aria-101up_red.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101up_red.jpg
,11,u17d34,Aria,Fretted Instruments,Acoustic Guitars,ARIA-101DP,Delta Player Orchestra,• Top: Spruce • Back & Side: Sapele • Neck: Mahogany • Frets: 20 • Nut Width: 43mm,Muddy Brown,299.00,189.00,,,aria_aria-101dp_muddy-brown.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria_aria-101dp_muddy-brown.jpg
